source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp
138865745904292736,45.388039645920024,35.818699699196294,0.81490335499133,19.471056,2.4101028
138866909839449216,45.514158734868566,35.88038013806901,0.5713682902405053,18.073654,1.6935577
138867360811974912,45.41319465774799,35.86263247769703,0.20486180142970922,18.201437,1.3033199
138867566970407040,45.3710647489069,35.87144909582682,0.5137660101360491,16.382132,1.1450377
138867635689878656,45.39543019517875,35.87572699391171,2.8604307868959307,14.089325,1.3123245
138868009351118592,45.45353071321292,35.925118767560875,0.6528705266191017,19.230566,1.2635212
138868559107682176,45.286598928667296,35.84219457564403,1.0750057819744707,18.237896,2.1530342
138869727339942272,45.21089933857797,35.86924024379019,0.6441405989523303,20.769627,1.8804951
138869899137498752,45.21082602097799,35.8858815203792,1.703123940345714,20.476656,1.8719501
138869899137503872,45.20379718623115,35.89621742590623,2.6810371914133193,16.81749,2.3937616
138869903432625024,45.20669039418553,35.899822099500106,0.12900059561867688,15.195956,1.5183544
138870075231305216,45.260992802376045,35.91052652102531,0.385994177922039,17.560375,1.0360165
137333061054618240,45.01127328187059,35.28108674900096,0.47391311164990146,15.598997,1.0016079
137339035353986048,45.06501769493455,35.304596399356015,0.24585027674780374,17.467558,1.0925598
137339280167250048,45.01901203616546,35.32583649069904,0.6269113709188487,15.455248,0.978919
137340242239907072,45.20042886592011,35.37474890527536,0.8053635383769144,13.581583,0.89147663
137340482756998144,45.16276783142519,35.396212954244135,0.3701306246664212,16.696302,0.95165443
137340757635976576,45.22046861605585,35.4104098577246,0.4623419537302555,19.24428,2.044506
137341062578661376,45.21508281212263,35.44112242032303,1.3015142486101634,20.182875,1.6720047
137341474895510144,45.106522913523,35.41762104887841,2.6173869267300587,19.583187,2.9725113
137341921572120704,45.158525710883154,35.44262273570373,0.8841992935082118,17.141878,1.3702507
137346358273256320,44.89616927106035,35.36513599862468,0.79962729223558,15.0892935,1.0432892
137348935253635968,44.83998070992626,35.350618464294065,0.467661234979679,14.481323,1.1283741
137349411995044224,44.85180675975541,35.38624864956944,3.1140205912193966,15.069083,1.7157545
137349519369183616,44.9005592384447,35.41457097244422,0.20024764490784408,16.424938,1.0869932
137350099189825024,44.79053719483384,35.40818827543262,2.203413085484474,18.89234,2.4516792
137350928118454656,44.81147612494354,35.486600559629714,0.25463550355936726,17.553585,1.0782509
137351061262456832,44.987630541749496,35.34882521138396,0.22549659642948566,18.919401,1.111433
137351099917242752,44.998326952816946,35.361767599890975,0.4134793608476411,17.445763,1.0434685
137351649673549056,45.04268647145848,35.39669761477464,0.8071898037170997,18.096502,1.8421745
137352298212054272,44.959177767753744,35.410490196331956,1.83002424859989,12.736309,0.81174755
137352332572826112,44.97991357690558,35.41399021726779,0.0980497119731168,18.529812,1.0472431
137352680465196416,45.0106134814069,35.4311586963643,1.4952348881576851,16.734463,1.7614698
137352783544408576,45.02852868375181,35.44125771010347,0.5844867629821102,19.412804,2.3428478
137352783544707968,45.02866912852161,35.44835738787881,1.2044167880047016,20.275803,0.83119583
137352951048139904,44.988159035568685,35.45353957282798,2.5604245796576617,19.195,2.7210236
137352985407878528,44.95999482823561,35.45434366181855,0.9957788617388336,17.560179,1.9210758
137353058422312704,45.006374429138475,35.47172300087943,1.216331420815467,18.7667,2.2888832
137353260285777280,45.08202693314444,35.43332589127158,0.24715529182754314,19.49115,2.6016617
137353436379430656,45.10877207777896,35.47232765486292,0.5849599267565445,16.540434,1.0995979
137353917415762688,45.164722126488094,35.50985914323271,0.0044587039029985,18.644772,1.1649284
137355738481826944,44.87595866037752,35.45576071837521,0.5899278381745581,17.248259,1.2483959
137355837266178944,44.92269096124719,35.4796807487388,0.5638334311642275,17.19943,1.1753845
137356082078875648,44.98425622939146,35.48730942423605,0.4256829720488852,20.596907,1.8752766
137356734914235264,44.885830967020105,35.512418248223234,0.44798208213910184,16.676653,1.1359024
137356833698608000,44.83531061566074,35.511846714545506,0.8720048109259274,18.676939,1.0611973
137358964002408320,44.931186605871964,35.578570595695076,0.20450896788870615,16.952019,1.0357399
138485516744219648,49.197373368303346,37.13046192109764,0.37860196919776823,20.453098,2.3574219
138757680231634176,46.8886744048228,36.15171247943105,4.484572976599676,17.894535,3.065071
138757748951122304,46.87686791875672,36.175409777784736,1.1560683748891998,19.674593,2.5202408
138758092548791552,46.91299744955432,36.17372023180534,2.6230082061665025,19.295912,3.4089775
138762288732412416,47.18525896890537,36.27094982049173,0.34600623391600727,17.211239,0.97891235
138763109070314880,46.98376148896814,36.193950240184556,0.31772716719298777,18.79705,1.2568398
138763693185883904,47.04671465222677,36.242509313099696,0.384686803881701,15.793698,0.93953705
138764208582223616,46.94868277911243,36.24230060325785,2.056045887767671,19.705538,2.4592495
138764212875854976,46.94551875742023,36.22870940349522,0.16260788400662032,19.967327,2.0002518
138764414740535552,47.01621143699466,36.250609356335794,0.9483929895747933,20.62798,1.1350632
138764968791499392,47.1077026322328,36.259681970268,1.003163872905001,12.372994,0.43597126
138766446259866368,47.039518490730195,36.34757537274562,0.41075661233988575,20.64714,1.5689983
138766652418672640,47.119133921028975,36.344273119780546,1.0498013830891277,18.80135,2.375597
138766785562361088,47.136112534798634,36.37496587275118,0.13536612303654513,16.839724,1.0492535
138801287035169280,45.66912615144388,35.57718731261675,0.5841562993219962,16.67952,1.257451
138801630631173120,45.63110028499937,35.60714506449858,0.05175144377464268,20.360567,1.2554836
138819699558904064,46.21690515102282,35.83189219990755,0.8689985298496462,17.111603,1.525135
138819802638123776,46.23466947814863,35.83640577156688,0.08071324198885245,17.577469,1.1337147
138822109036784896,45.87451633773732,35.67310123094098,0.49976524728218075,20.044697,1.2694397
138823547849449472,45.90168366494997,35.68528637248101,0.24749884408700096,18.420757,1.4135342
